data,description,source,link,Image_link,similar_images
2019-08-28T16:59:12-07:00,"The Earth's lungs are on fire. They're burning up. Some version of that has been said by politicians, journalists, celebrities and members of the public since the destructive blazes began to engulf Brazil's rainforest more than three weeks ago. Almost all the oxygen in the air is produced by plants through photosynthesis, and since a large amount of photosynthesis happens in",foxnews,https://www.foxnews.com/science/amazon-fires-are-not-burning-earths-lungs,https://static.foxnews.com/foxnews.com/content/uploads/2019/08/AP-amazon-fire.jpg,"[21, 230, 154]"
2019-07-19T07:48:03-07:00,"When is it time to call a statement “racist,” and when is it time to let others characterize it that way? News organizations wrestled with that question Sunday and Monday after President Trump tweeted a series of statements aimed at four members of Congress, all women of color. Trump’s comments — “Why don’t they go back and help fix the totally broken and crime infested places",washingtonpost,https://www.washingtonpost.com/lifestyle/style/racist-tweets-news-media-grapple-with-how-to-label-trumps-latest-attacks/2019/07/15/c27460e2-a71b-11e9-86dd-d7f0e60391e9_story.html?utm_term=.3ce410a700d0,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/SGKYFIFHIYI6TI5GVNTQSYW3AU.jpg&amp;w=1440,"[22, 19, 3]"
2022-06-09T05:47:01-07:00,"The first hearing of the House Jan. 6 committee happens Thursday, and while you can watch on most news outlets, Fox News isn't one of them. Fox News Channel's prime-time programs will &quot;cover the hearings as warrants,&quot; and at 11 p.m., the network announced Monday. The network will instead carry the coverage on its Fox Business channel, as well as Fox Nation and its website. The",usatoday,https://www.usatoday.com/story/news/politics/2022/06/07/how-watch-first-jan-6-committee-hearing/7533670001/,"https://www.gannett-cdn.com/presto/2022/05/24/USAT/afd6e960-454f-4d82-8eff-9bbfad5e2458-AP_Capitol_Riot_Oath_Keeper_Plea.JPG?crop=5999,3374,x1,y530&amp;width=3200&amp;height=1800&amp;format=pjpg&amp;auto=webp","[23, 230, 211]"
2021-01-07T17:09:40-08:00,President Trump’s efforts to overturn the 2020 presidential election came to a dangerous head on Wednesday when a mob of his supporters stormed the U.S. Capitol following a rally in which Mr. Trump once again falsely claimed widespread voter fraud. The Capitol was placed on lockdown Wednesday afternoon in a scene of unrest seldom witnessed in the history of the United States.,nytimes,https://nytimes.com/interactive/2021/01/06/us/trump-mob-capitol-building.html,https://static01.nyt.com/images/2021/01/06/us/trump-mob-capitol-building-promo-1609985722773/trump-mob-capitol-building-promo-1609985722773-facebookJumbo.jpg?year=2021&amp;h=549&amp;w=1050&amp;s=2dea7ba0a02094fd2c2f12479a097f245e4b85a49586ee4987d1ecf3b545398d&amp;k=ZQJBKqZ0VN,"[24, 211, 19]"
2019-08-21T08:12:02-07:00,"As we move toward the final week of the election, I have to ask: how much is this really going to matter?",townhall,http://townhall.com/columnists/markdavis/2016/10/31/will-the-reopening-of-hillarys-email-case-matter-n2238957,https://media.townhall.com/cdn/hodl/2016/272/78396fe0-112b-48c7-a845-521605dc3007.jpg,"[25, 175, 134]"
2018-08-30T08:49:27-07:00,"Mainstream media organizations are better-resourced and do far more reporting than smaller, explicitly politicized outlets.",theatlantic,https://www.theatlantic.com/technology/archive/2018/08/why-google-doesnt-rank-right-wing-outlets-highly/568831/,https://cdn.theatlantic.com/thumbor/i0Z-oRHosAN_TShLvnB7lAw2A8A=/1x0:1604x835/1200x625/media/img/mt/2018/08/trump/original.png,"[26, 211, 19]"
2017-06-29T13:44:54-07:00,"About two years ago, I found myself wandering the streets of Birmingham, Alabama. The city was eerily deserted on a Sunday evening, and I filled the space with scenes from civil rights films— Klansmen parading down the sidewalk in defiance of sit- ins, and police dogs snarling at protesters. As darkness set in, I almost expected Bull Connor himself to dart out of the shadows,",huffingtonpost,http://www.huffingtonpost.com/entry/5955137ae4b0326c0a8d0e47,https://img.huffingtonpost.com/asset/default-contrib-entry.jpg?ops=1200_630,"[27, 230, 19]"
2019-08-21T08:12:02-07:00,"The presidential campaign is entering its final full week amid high drama and volatility, as both sides grapple with the fallout from the FBI’s announcement that it is examining newly discovered emails that “appear to be pertinent” to an earlier investigation of Hillary Clinton.",thehill,http://thehill.com/blogs/ballot-box/presidential-races/303531-email-trove-throws-final-week-of-campaign-into-chaos,https://thehill.com/wp-content/uploads/sites/2/2016/10/clintonhillary103016_getty.jpg?w=1280,"[28, 230, 211]"
2020-12-16T11:03:52-08:00,"President-elect Joe Biden emphasized unity in a speech on Monday evening as the Electoral College finished its formal voting process, handing him a solid 306 electoral votes to confirm his win. What they're saying: &quot;The flame of democracy was lit in this nation a long time ago. And we now know that nothing — not even a pandemic — or an abuse of power — can extinguish that",axios,https://www.axios.com/biden-speech-electoral-college-trump-34a1dee6-ce44-42ef-986c-681be134168b.html,https://images.axios.com/0PwpU3ma9LrM-cONebxniN60w6o=/0x54:3279x1898/1366x768/2020/12/15/1607993351207.jpg,"[29, 230, 213]"
2020-01-16T07:14:33-08:00,"House Democrats have finally vouchsafed to deliver their impeachment articles to the Senate, a month after they claimed their rushed votes were essential to save the republic. The Senate can now do better by the Constitution by holding a trial that judges President Trump without validating the partisan House process and its weak case.",wsj,https://www.wsj.com/articles/pelosis-impeachment-offenses-11579134502,https://s.wsj.net/img/meta/wsj-social-share.png,"[19, 30, 3]"
